code;nature
0;INDETERMINE
1;PIERRE
2;MEULIERE
3;BETON
4;BRIQUES
5;AGGLOMERE
6;BOIS
9;AUTRES
00;INDETERMINE
01;PIERRE
02;MEULIERE
03;BETON
04;BRIQUES
05;AGGLOMERE
06;BOIS
09;AUTRES
10;PIERRE
11;PIERRE
12;MEULIERE - PIERRE
13;BETON - PIERRE
14;BRIQUES - PIERRE
15;AGGLOMERE - PIERRE
16;BOIS - PIERRE
19;PIERRE - AUTRES
20;MEULIERE
21;MEULIERE - PIERRE
22;MEULIERE
23;BETON - MEULIERE
24;BRIQUES - MEULIERE
25;AGGLOMERE - MEULIERE
26;BOIS - MEULIERE
29;MEULIERE - AUTRES
30;BETON
31;BETON - PIERRE
32;BETON - MEULIERE
33;BETON
34;BETON - BRIQUES
35;AGGLOMERE - BETON
36;BETON - BOIS
39;BETON - AUTRES
40;BRIQUES
41;BRIQUES - PIERRE
42;BRIQUES - MEULIERE
43;BETON - BRIQUES
44;BRIQUES
45;AGGLOMERE - BRIQUES
46;BOIS - BRIQUES
49;BRIQUES - AUTRES
50;AGGLOMERE
51;AGGLOMERE - PIERRE
52;AGGLOMERE - MEULIERE
53;AGGLOMERE - BETON
54;AGGLOMERE - BRIQUES
55;AGGLOMERE
56;AGGLOMERE - BOIS
59;AGGLOMERE - AUTRES
60;BOIS
61;BOIS - PIERRE
62;BOIS - MEULIERE
63;BETON - BOIS
64;BOIS - BRIQUES
65;AGGLOMERE - BOIS
66;BOIS
69;BOIS - AUTRES
90;AUTRES
91;PIERRE - AUTRES
92;MEULIERE - AUTRES
93;BETON - AUTRES
94;BRIQUES - AUTRES
95;AGGLOMERE - AUTRES
96;BOIS - AUTRES
99;AUTRES
